no,image,manual_grade
1,fc0cec90-4a1e-4cdc-95cf-a34abc1dc8c9___GHLB2 Leaf 117.2.jpg,3
2,9c96bbe3-5599-4e31-996f-ae37d75872f5___PSU_CG 2215.jpg,1
3,RS_Rust 2650.jpg,3
4,6797ee0c-20a8-4a39-ab57-f65eb9c57885___RS_Erly.B 7647.jpg,2
5,366e550d-8604-44cd-b239-325d9e14a4f4___RS_Erly.B 6378.jpg,2
6,86965ac5-b790-4218-a3c6-216d10da5211___PSU_CG 2066.jpg,0
7,2a70c9e6-2c2f-4355-94fb-02afc8141be5___Com.G_SpM_FL 8877.jpg,0
8,37c875ff-bb1a-4efd-b65a-9e4aa6bed2a6___UF.GRC_YLCV_Lab 09463.jpg,1
9,e565cdd1-9488-4eaf-976b-a68c566087e8___Rut._Bact.S 0991.jpg,2
10,819a918b-6982-4840-87aa-8bce089575b0___UF.GRC_YLCV_Lab 01839.jpg,1
11,39c257ad-8334-45e7-a4e1-f131bb4a7eee___JR_FrgE.S 3023.jpg,2
12,c52f348c-1da2-4455-afcb-a99c0cd32c51___FAM_B.Msls 4210.jpg,3
13,4fea7725-bb98-4e06-a8c4-764e66c809ac___YLCV_GCREC 1966.jpg,0
14,c66fe682-9e42-4343-a4d4-add4d6244859___NREC_B.Spot 9131.jpg,2
15,ad5d1c57-162e-49ea-868e-efde59603115___RS_L.Scorch 1401.jpg,3
16,a2027312-f55d-4e37-8f96-1dd323ae2336___FAM_B.Msls 4095.jpg,1
17,8aab9abd-f5e3-4653-80d9-317bef625ae2___RS_LB 5221.jpg,2
18,d76eb906-9957-4572-bf7f-60936f30f8f3___Crnl_L.Mold 8640.jpg,1
19,457acd3d-13b8-49ee-9958-6d2a330f11f5___UF.Citrus_HLB_Lab 0370.jpg,0
20,a4880706-e191-43ff-a5a7-bd0f0c03aa2d___Keller.St_CG 1851.jpg,2
21,5dbcba87-93fa-4c21-8abd-bc20c93b359f___FREC_Scab 3258.jpg,3
22,8a30d4c5-0065-4981-aee2-2f4cb7ac22ae___NREC_B.Spot 1887.jpg,1
23,887c5359-fb30-4e3a-86cd-d35bca0699eb___Com.G_TgS_FL 7991.jpg,1
24,80b5095a-7f0e-45e8-841d-173f77a3b623___CREC_HLB 3928.jpg,1
25,dbd393bd-b5db-4edc-a416-a52ac8b37b7c___Com.G_TgS_FL 8201.jpg,0
26,61cfe32d-d9cd-4ee4-a8db-5da174570897___FAM_B.Msls 4074.jpg,2
27,dc289122-aa0d-454b-b617-16824440fce4___RS_LB 2959.jpg,3
28,dbb50cba-a410-49af-a95f-ac53d5fc9af3___Com.G_TgS_FL 8295.jpg,1
29,be4476a9-c03a-4166-bd89-fd39ec64a3e9___CREC_HLB 4574.jpg,0
30,e277b59d-2e55-4117-92c7-93996599ef02___GCREC_Bact.Sp 3168.jpg,1
31,4fd2b622-36f6-454c-ba76-d5e89a2280d1___CREC_HLB 4277.jpg,0
32,579ba9c1-f11d-46db-9280-35b7c8b99109___UF.GRC_YLCV_Lab 02649.jpg,0
33,3b8ea861-6f50-4e0e-b3a3-7360e47c2d47___UF.GRC_YLCV_Lab 01680.jpg,1
34,0ea78733-9404-4536-8793-a108c66269b3___FREC_Scab 3145.jpg,2
35,d92e1697-73e6-4acd-aab7-53e0037c7bed___MD_Powd.M 0574.jpg,0
36,f7b7b4c8-1420-4ffe-ba64-97be026edeb4___Com.G_SpM_FL 8978.jpg,0
