path,class,lesion_ratio,estimated_level,manual_grade
data/PlantVillage/raw/color\Grape___Esca_(Black_Measles)\9fb72312-83ef-469b-9937-ee325739a53b___FAM_B.Msls 4461.JPG,Grape___Esca_(Black_Measles),0.1146,mild,
data/PlantVillage/raw/color\Cherry_(including_sour)___Powdery_mildew\1cc8262f-97fa-4259-9c87-d2abd7b284a2___FREC_Pwd.M 0443.JPG,Cherry_(including_sour)___Powdery_mildew,0.0355,healthy,
data/PlantVillage/raw/color\Potato___Early_blight\541b768f-ec74-4f60-8e5a-778a5eb359da___RS_Early.B 8647.JPG,Potato___Early_blight,0.1091,mild,
data/PlantVillage/raw/color\Peach___Bacterial_spot\b80f4d3e-e0a5-4e81-b50d-8728c8228b00___Rut._Bact.S 0782.JPG,Peach___Bacterial_spot,0.0135,healthy,
data/PlantVillage/raw/color\Peach___Bacterial_spot\18bb50bb-0648-4066-bab9-965b671d7b8b___Rutg._Bact.S 2075.JPG,Peach___Bacterial_spot,0.8987,severe,
data/PlantVillage/raw/color\Orange___Haunglongbing_(Citrus_greening)\0b15ca7c-6811-4023-9e48-93e2e0f630ed___CREC_HLB 4210.JPG,Orange___Haunglongbing_(Citrus_greening),0.1230,mild,
data/PlantVillage/raw/color\Grape___Esca_(Black_Measles)\31dcd664-97e8-4e22-a30d-35014b9737a4___FAM_B.Msls 4350.JPG,Grape___Esca_(Black_Measles),0.1163,mild,
data/PlantVillage/raw/color\Tomato___Tomato_Yellow_Leaf_Curl_Virus\6b13dcc6-31de-44e4-a6a6-31719f6d918d___UF.GRC_YLCV_Lab 03256.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.0363,healthy,
data/PlantVillage/raw/color\Grape___Black_rot\5ffd7e9b-c750-4e10-8046-51d0c866fc8e___FAM_B.Rot 3562.JPG,Grape___Black_rot,0.1844,mild,
data/PlantVillage/raw/color\Tomato___Tomato_Yellow_Leaf_Curl_Virus\f8ba145b-6a5a-43f1-b03b-3acb90f5483b___UF.GRC_YLCV_Lab 02697.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.0152,healthy,
data/PlantVillage/raw/color\Tomato___Late_blight\f972ee8f-5f07-49a0-974c-b919b0ad5b0b___RS_Late.B 4961.JPG,Tomato___Late_blight,0.3291,moderate,
data/PlantVillage/raw/color\Cherry_(including_sour)___Powdery_mildew\890379a9-f446-4f14-af25-bbf4a3544473___FREC_Pwd.M 0391.JPG,Cherry_(including_sour)___Powdery_mildew,0.0533,mild,
data/PlantVillage/raw/color\Cherry_(including_sour)___Powdery_mildew\66a3e2fb-8e92-408a-86e2-3959921beea2___FREC_Pwd.M 0275.JPG,Cherry_(including_sour)___Powdery_mildew,0.0184,healthy,
data/PlantVillage/raw/color\Grape___Black_rot\b9eaae15-de88-4dff-9c57-7cfc1cb9ee38___FAM_B.Rot 0619.JPG,Grape___Black_rot,0.2708,moderate,
data/PlantVillage/raw/color\Orange___Haunglongbing_(Citrus_greening)\fbf54e96-64ab-4d99-9721-bf3c63b37673___CREC_HLB 7745.JPG,Orange___Haunglongbing_(Citrus_greening),1.0000,severe,
data/PlantVillage/raw/color\Peach___Bacterial_spot\607a57a1-53fd-498b-884f-cfaab7755fb8___Rut._Bact.S 1545.JPG,Peach___Bacterial_spot,0.1387,mild,
data/PlantVillage/raw/color\Tomato___Target_Spot\c2f56696-c7ab-4107-aa33-8d4ddcef1757___Com.G_TgS_FL 8152.JPG,Tomato___Target_Spot,0.1755,mild,
data/PlantVillage/raw/color\Cherry_(including_sour)___Powdery_mildew\328041cc-6302-4d95-8160-f976e6e61426___FREC_Pwd.M 0257.JPG,Cherry_(including_sour)___Powdery_mildew,0.0821,mild,
data/PlantVillage/raw/color\Tomato___Tomato_Yellow_Leaf_Curl_Virus\9ad05475-1dd4-4fde-98da-9aaaa103be06___UF.GRC_YLCV_Lab 02380.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.1110,mild,
data/PlantVillage/raw/color\Orange___Haunglongbing_(Citrus_greening)\be0f985a-355f-4e94-a283-cc25e82cc9c8___CREC_HLB 6582.JPG,Orange___Haunglongbing_(Citrus_greening),0.1780,mild,
data/PlantVillage/raw/color\Tomato___Tomato_Yellow_Leaf_Curl_Virus\69885c72-9f81-4a5d-87a0-2d98c435af64___YLCV_NREC 2988.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.1166,mild,
data/PlantVillage/raw/color\Tomato___Late_blight\e4d14fec-dc38-4e88-ac83-1f1b75be5de7___RS_Late.B 6450.JPG,Tomato___Late_blight,0.6291,severe,
data/PlantVillage/raw/color\Peach___Bacterial_spot\039f605b-6a83-45e7-a08c-99ef9fff5758___Rutg._Bact.S 2001.JPG,Peach___Bacterial_spot,0.6092,severe,
data/PlantVillage/raw/color\Tomato___Septoria_leaf_spot\7b1b944d-0f5a-4b64-96cc-5eacfe0776ac___Matt.S_CG 6725.JPG,Tomato___Septoria_leaf_spot,0.0209,healthy,
data/PlantVillage/raw/color\Tomato___Tomato_Yellow_Leaf_Curl_Virus\f52cb85d-97c7-4ac8-b2cd-c40a6e76a171___UF.GRC_YLCV_Lab 02973.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.1032,mild,
data/PlantVillage/raw/color\Potato___Early_blight\8ace7694-6cdd-495e-a987-f9c0ee82bcab___RS_Early.B 9016.JPG,Potato___Early_blight,0.8630,severe,
data/PlantVillage/raw/color\Apple___Apple_scab\afab688d-242c-4e62-abef-ba277df5a76d___FREC_Scab 3188.JPG,Apple___Apple_scab,0.5823,severe,
data/PlantVillage/raw/color\Orange___Haunglongbing_(Citrus_greening)\4a71247f-a0b4-4ed3-bf34-fd117cfa575a___UF.Citrus_HLB_Lab 0242.JPG,Orange___Haunglongbing_(Citrus_greening),0.2611,moderate,
data/PlantVillage/raw/color\Tomato___Leaf_Mold\039183dc-a260-49fa-b28a-0c8f11614896___Crnl_L.Mold 6720.JPG,Tomato___Leaf_Mold,0.1446,mild,
data/PlantVillage/raw/color\Strawberry___Leaf_scorch\afc3d229-2150-4ce3-8f3f-ef06ccb7a6e5___RS_L.Scorch 1153.JPG,Strawberry___Leaf_scorch,0.4426,moderate,
data/PlantVillage/raw/color\Potato___Early_blight\84a61cf3-fdc2-42bd-82d8-8dcf20e9d374___RS_Early.B 8130.JPG,Potato___Early_blight,0.3228,moderate,
data/PlantVillage/raw/color\Orange___Haunglongbing_(Citrus_greening)\3d0bdbe1-ef5f-4276-9421-ee97c14f221f___CREC_HLB 7443.JPG,Orange___Haunglongbing_(Citrus_greening),0.5724,severe,
data/PlantVillage/raw/color\Orange___Haunglongbing_(Citrus_greening)\f1b9d1d2-ed5f-4fac-a755-f768588cc94c___UF.Citrus_HLB_Lab 0688.JPG,Orange___Haunglongbing_(Citrus_greening),0.0725,mild,
data/PlantVillage/raw/color\Strawberry___Leaf_scorch\7a178f96-d94b-481a-98be-4eb73672f864___RS_L.Scorch 1278.JPG,Strawberry___Leaf_scorch,0.2517,moderate,
data/PlantVillage/raw/color\Grape___Esca_(Black_Measles)\2f3f5ab8-b043-4906-a480-e908dbad8584___FAM_B.Msls 1191.JPG,Grape___Esca_(Black_Measles),0.2307,moderate,
